Taxi Group Name,Taxi Division Rank,Driver Full Name,Vehicle Brand,Experience Group,Special Awards,Endurance Score,Profitability Score,Safety Score,Efficiency Score,#of1Star Ratings,#of2Star Ratings,#of3Star Ratings,#of4Star Ratings,#of5Star Ratings
"Walsh, Hammond and Craig",6,Marilyn Stevens,11,2,False,-1.01227,-0.72896,-0.897641,0.221621,19,26,31,17,20
"Walsh, Hammond and Craig",6,Martin Fitzgerald,9,5,False,0.290029,0.18566,-0.293379,-0.340447,10,29,35,25,20
"Walsh, Hammond and Craig",6,Christopher Davies,9,5,True,0.931569,0.399423,-0.00187336,1.44901,-1,10,5,48,56
"Walsh, Hammond and Craig",1,Ashley Mills,6,1,False,0.245567,1.65382,1.23384,1.03849,6,5,6,64,51
"Walsh, Hammond and Craig",1,Kenneth Carroll,4,6,False,-0.609618,-0.965762,-0.906336,-0.635073,21,37,59,22,16
"Walsh, Hammond and Craig",1,Rebecca Jordan,6,1,False,0.404215,0.23957,0.0760516,1.18225,9,19,26,38,25
"Walsh, Hammond and Craig",1,Phillip Benson,8,4,False,-0.286602,-0.528813,-0.500692,1.2813,3,-1,3,61,64
"Walsh, Hammond and Craig",1,Amanda Bryant,9,1,False,0.228657,-0.0696249,0.362733,-0.598831,22,39,42,11,14
"Walsh, Hammond and Craig",1,Joan Evans,11,6,False,1.02231,1.19728,3.48331,-1.46147,18,34,64,8,7
"Walsh, Hammond and Craig",1,Joel Ball,6,1,False,-0.766813,0.219108,-0.688528,0.764409,6,29,46,27,23
"Walsh, Hammond and Craig",1,Francis Morris,6,1,False,-1.15955,-1.15243,-0.985916,-0.0362518,11,20,41,23,30
Whitehead Inc,0,Jasmine Harper,0,1,False,-0.756186,-1.74067,-0.609684,-1.3174,16,32,51,8,10
Whitehead Inc,0,Patrick Moore,14,6,True,0.377408,0.92518,-0.463638,0.0816681,4,4,8,49,70
Whitehead Inc,0,Alex Jones,0,3,False,-0.452074,-0.960033,-0.157328,-0.140493,21,38,71,3,2
Whitehead Inc,0,Tracy Hughes,17,1,False,-0.474299,-0.433465,0.155576,-0.298964,17,33,47,8,13
Whitehead Inc,1,Chelsea Fox,6,5,False,0.216048,0.57112,-0.298085,1.09444,11,29,36,31,23
Whitehead Inc,1,Kenneth Burgess,6,3,False,0.349682,2.53338,0.217929,0.99773,10,11,27,37,43
Whitehead Inc,1,James Jones,17,1,False,2.32201,-0.491882,-0.516253,-0.0317324,3,26,32,18,19
Whitehead Inc,1,Rosemary Middleton,10,3,False,-0.670166,-0.292844,-0.856066,0.142771,16,29,52,26,13
Whitehead Inc,1,Kevin Miller,10,3,False,0.44535,0.567242,0.171715,1.14776,11,15,24,40,28
Whitehead Inc,1,Wayne Taylor,6,6,False,-0.302486,-0.839002,-0.422879,0.130188,7,10,24,37,41
Whitehead Inc,2,David Lynch,6,6,False,0.380959,0.122852,-0.189149,2.00213,9,9,13,44,51
Whitehead Inc,2,Joel Chapman,3,5,False,-0.560649,-0.0230149,-0.349467,1.15734,4,10,13,40,46
Whitehead Inc,2,Karen Mitchell,2,5,True,2.15579,1.17119,0.589752,0.9585,2,9,14,33,42
Whitehead Inc,2,Marc Jackson,16,2,False,-0.0854378,0.109604,2.16468,0.0277355,4,18,25,39,40
Whitehead Inc,2,Katherine Patterson,6,1,False,0.350567,1.65082,1.22884,1.00649,1,9,6,59,51
Whitehead Inc,1,Thomas Smith,1,2,False,0.310206,0.42707,-0.685323,0.988877,7,25,35,31,28
Whitehead Inc,1,Lynda Williams,14,3,True,-0.756343,-0.344008,2.82844,0.790513,0,5,3,70,52
Whitehead Inc,1,Clive Walker,17,1,False,-0.386299,-0.441465,0.269576,-0.442964,14,32,47,7,13
Whitehead Inc,3,Leanne West,17,1,False,-1.63767,0.898988,0.593463,-0.578455,15,16,31,29,31
Whitehead Inc,1,Stacey Green,0,3,False,-0.401593,0.321485,-0.866373,3.25026,15,30,44,20,11
Whitehead Inc,1,Peter Hussain,6,2,True,1.37485,1.59263,0.459886,0.771648,3,5,10,64,45
Whitehead Inc,1,Wayne Parker,0,1,False,0.0671387,0.954078,0.120993,1.21523,12,20,26,37,40
Whitehead Inc,1,Gareth Wright,6,6,False,0.307499,-0.392705,0.0396879,1.2227,10,18,24,40,27
Whitehead Inc,1,June Taylor,0,5,False,-0.807871,-1.24108,0.278124,-1.53301,2,12,14,66,50
Whitehead Inc,2,Sara Pritchard,16,5,True,0.912629,0.311991,1.76532,1.34801,4,10,18,42,60
Whitehead Inc,2,Kevin Osborne,11,6,False,0.949314,1.16528,3.50131,-1.32447,21,32,67,6,4
Whitehead Inc,2,Ashleigh Hopkins,17,2,False,-1.43844,-0.408758,-1.24038,-0.0891126,22,37,51,15,11
Whitehead Inc,2,Derek Lee,1,5,False,-0.44821,0.855437,-0.462991,1.17461,12,20,30,34,31
Whitehead Inc,2,Jemma Edwards,6,1,False,0.335469,0.768114,0.132399,1.06373,-1,6,14,64,52
Whitehead Inc,4,Roger Taylor,13,6,False,-0.169378,-0.190666,0.554084,-0.886837,16,36,56,4,6
Whitehead Inc,1,Dennis Chapman,12,5,False,-0.296721,0.0262393,-0.384387,-0.0472877,20,30,56,24,17
Whitehead Inc,1,Glen Holden,12,3,False,0.291096,-0.204474,-0.446812,1.15569,14,19,34,12,18
Whitehead Inc,1,Rebecca Ball,9,1,False,0.373958,0.16936,0.388204,0.368884,9,27,38,14,29
Whitehead Inc,1,Joyce Norris,17,3,False,1.14352,0.245269,1.8519,-0.551673,10,35,45,20,16
Whitehead Inc,1,Billy Roberts,17,1,False,-0.888996,-0.419915,-0.461734,-0.25784,1,10,28,44,34
Whitehead Inc,1,Brett Pollard,3,1,True,0.818484,0.404519,0.257931,1.05294,9,12,25,44,48
"Fletcher, Gallagher and Blake",0,Sharon Davis,5,4,False,-1.13718,-0.331039,-1.04127,-0.354446,8,9,21,42,37
"Fletcher, Gallagher and Blake",0,Dylan Richardson,15,3,False,-0.17633,-1.24948,0.081926,-1.60232,11,11,32,36,33
"Fletcher, Gallagher and Blake",0,Kerry Robinson,17,5,False,0.821709,-0.242185,0.561586,1.46025,4,11,12,43,57
"Fletcher, Gallagher and Blake",1,Tony Cox,17,2,False,-0.700714,-0.507635,-0.394349,-0.881616,1,10,8,46,52
"Fletcher, Gallagher and Blake",1,Raymond Smith,12,2,False,1.16617,-0.958769,-0.858478,-0.0393319,6,24,41,15,17
"Fletcher, Gallagher and Blake",1,Alex Davies,1,3,False,0.0927845,0.378396,-0.140077,-0.0163648,14,35,40,7,20
"Fletcher, Gallagher and Blake",1,Jessica Baxter,10,5,False,-0.407679,0.252844,-1.06563,0.0323567,-1,4,9,57,44
"Fletcher, Gallagher and Blake",1,Maurice Jones,17,6,False,-1.02264,-0.796408,-1.17982,0.116549,-1,11,7,49,52
"Fletcher, Gallagher and Blake",1,Carly White,17,3,False,-0.291791,1.25485,0.316124,-0.548433,24,35,73,12,11
"Fletcher, Gallagher and Blake",1,Ellie Donnelly,10,3,False,0.38535,0.615242,0.140715,1.08976,12,19,25,41,27
"Fletcher, Gallagher and Blake",1,Charles Dyer,6,1,False,-0.239889,0.574348,-0.0847773,1.23302,7,10,15,62,25
"Fletcher, Gallagher and Blake",1,Nicola Wright,2,4,False,1.6071,2.76846,1.22534,0.891133,6,10,16,44,53
"Fletcher, Gallagher and Blake",1,Colin Wilson,0,1,False,-0.222496,2.42598,1.46062,1.18737,4,12,22,42,43
"Fletcher, Gallagher and Blake",2,Jodie Newman,14,4,True,0.477154,0.700032,0.971653,0.378778,8,11,10,40,52
"Fletcher, Gallagher and Blake",2,Callum Watson,15,6,False,2.1275,-0.129976,-0.102419,-0.315549,13,30,43,17,12
"Fletcher, Gallagher and Blake",2,Harry Woodward,12,4,False,1.68426,0.120002,0.734974,-0.654178,8,15,32,26,37
"Fletcher, Gallagher and Blake",2,Howard Marsden,0,5,False,-0.602943,-0.494893,0.548586,-0.978669,9,38,51,12,22
"Fletcher, Gallagher and Blake",2,Daniel Wilson,10,1,False,-2.40148,-0.759652,-1.62541,0.829154,9,17,22,43,52
"Fletcher, Gallagher and Blake",2,Rhys Brown,3,2,False,-1.95476,-1.28203,-1.96903,-0.342305,14,17,32,35,28
"Fletcher, Gallagher and Blake",2,Martin Stevens,15,1,False,-1.55125,0.125683,0.618239,-0.391397,10,33,44,20,27
"Fletcher, Gallagher and Blake",3,Thomas Walker,12,2,False,-0.565354,-0.201717,-0.572368,0.662527,7,10,5,65,50
"Fletcher, Gallagher and Blake",3,Jeremy Brown,2,3,False,1.00071,1.96569,1.85587,1.75923,5,8,11,49,58
"Fletcher, Gallagher and Blake",3,Ellie Ward,12,5,False,1.29369,1.38798,-0.0437318,0.375294,8,29,45,17,19
"Fletcher, Gallagher and Blake",3,Simon Begum,17,6,False,-1.07364,-0.654408,-1.06782,0.0875491,-2,12,10,49,56
"Fletcher, Gallagher and Blake",3,Allan Turner,16,3,False,-1.10332,-0.679409,0.279265,-1.29109,0,-1,5,58,62
"Fletcher, Gallagher and Blake",1,Jessica Burns,4,6,True,2.13563,1.6056,0.776396,1.05647,-1,2,2,54,53
"Fletcher, Gallagher and Blake",1,Dale Thompson,0,1,False,0.120883,-0.42382,-0.395665,0.790239,17,33,57,17,15
"Fletcher, Gallagher and Blake",1,Jason Perry,12,4,False,-0.321926,-1.06876,-1.16933,-1.37111,4,5,15,58,53
"Fletcher, Gallagher and Blake",1,Cheryl Hall,6,1,False,0.0965802,-0.0681411,0.0712951,1.14859,18,33,25,28,27
"Fletcher, Gallagher and Blake",1,Fiona O'Brien,15,3,False,0.0162578,0.575094,0.454728,0.0370439,15,16,31,28,39
"Fletcher, Gallagher and Blake",4,Joanne Williamson,16,3,False,-0.844677,-0.211118,0.802795,-1.33381,11,33,41,22,32
"Fletcher, Gallagher and Blake",4,Julia Powell,9,1,False,-0.157436,-0.687128,1.40431,-0.340654,13,28,42,11,6
"Fletcher, Gallagher and Blake",4,Paula Bradley,9,3,False,-0.82546,0.248002,-1.14982,-1.09907,4,2,4,54,51
"Fletcher, Gallagher and Blake",4,Jean Griffiths,17,3,False,-0.266231,-0.820557,-0.837392,-0.672453,17,41,59,5,4
"Fletcher, Gallagher and Blake",4,Neil Evans,14,4,False,-0.141371,2.7276,0.686904,1.3945,7,15,31,46,38
"Fletcher, Gallagher and Blake",4,Jake Green,9,3,False,-1.20673,-1.11108,-0.769494,-1.2973,8,11,35,33,34
"Fletcher, Gallagher and Blake",1,Kevin Coleman,14,1,False,-1.11701,-1.44199,-1.42903,1.33661,15,23,29,18,18
"Fletcher, Gallagher and Blake",1,Leonard Bradshaw,9,3,False,-0.67046,0.223002,-0.999825,-1.05507,4,2,5,52,53
"Fletcher, Gallagher and Blake",1,Reece Cox,0,1,False,-0.692186,-1.90367,-0.618684,-1.3994,17,31,52,7,5
"Fletcher, Gallagher and Blake",1,Victor Singh,14,5,False,0.25492,-1.6288,-0.937416,-1.54713,7,4,9,58,54
"Fletcher, Gallagher and Blake",1,Maurice Mills,11,4,False,-0.0472328,-0.0450873,-0.203141,1.46694,11,34,48,17,23
"Fletcher, Gallagher and Blake",1,George Middleton,12,2,False,-0.385091,-0.0167135,-0.684392,-0.928326,2,6,1,59,47
"Fletcher, Gallagher and Blake",5,Victoria Phillips,5,1,False,0.122454,0.0904233,-0.726317,-1.09386,4,8,13,37,41
"Fletcher, Gallagher and Blake",1,Jenna Young,9,4,False,-0.140417,0.934831,1.82193,0.920535,3,10,13,52,41
"Fletcher, Gallagher and Blake",1,Dorothy Edwards,12,5,False,-0.275779,-0.666276,-0.68052,0.260138,7,11,20,25,57
"Fletcher, Gallagher and Blake",1,Edward Bradley,6,3,False,0.00351019,0.692814,-0.0259804,-1.03174,18,25,56,7,11
"Fletcher, Gallagher and Blake",1,Barbara Poole,12,5,False,-1.02013,-0.632875,-0.839758,-0.542607,17,26,22,37,32
"Fletcher, Gallagher and Blake",1,Rebecca Edwards,17,1,False,-1.56121,-0.347679,0.798837,-0.990498,16,29,35,30,19
"Fletcher, Gallagher and Blake",1,Jack Wilkins,3,5,True,0.449067,1.00936,-0.181103,1.38007,0,3,2,51,69
"Fletcher, Gallagher and Blake",6,Sandra Watts,1,5,False,1.5079,-0.342992,0.98007,0.406989,15,23,27,34,26
"Fletcher, Gallagher and Blake",6,Amanda Nicholls,17,2,False,0.963216,0.172879,0.316113,-1.09183,17,39,57,4,3
"Fletcher, Gallagher and Blake",6,Kelly Clark,12,1,False,-1.40031,0.212447,-0.98909,0.230208,13,14,33,28,24
"Fletcher, Gallagher and Blake",6,Helen Ward,17,1,False,1.03069,2.43915,1.14698,0.446485,12,16,25,38,43
"Fletcher, Gallagher and Blake",1,Adrian Brown,17,2,False,-0.48416,-0.734731,0.45206,-1.22579,10,27,40,20,20
"Fletcher, Gallagher and Blake",1,Joel Reed,0,5,False,-0.0532547,0.576694,1.56693,-0.739197,15,33,41,21,21
"Fletcher, Gallagher and Blake",1,Brian Smart,16,4,True,1.1666,1.24688,1.41944,0.696306,4,7,1,59,65
"Fletcher, Gallagher and Blake",1,Joe Bell,9,1,False,0.303657,-0.0456249,0.355733,-0.551831,19,38,41,12,17
"Fletcher, Gallagher and Blake",1,Ian Skinner,8,4,False,0.908443,-0.826909,-1.30183,-0.0394037,2,8,3,51,51
"Fletcher, Gallagher and Blake",7,Reece Briggs,14,2,False,1.13644,0.591087,0.932757,1.09479,7,6,20,39,39
"Fletcher, Gallagher and Blake",7,Clive Mason,17,1,False,-0.896996,-0.418914,-0.386734,-0.0928402,1,10,23,44,32
"Fletcher, Gallagher and Blake",7,Antony Potter,17,4,False,-0.588569,-0.406159,-1.2532,0.488561,12,11,19,44,56
"Fletcher, Gallagher and Blake",7,James Thomas,15,1,False,-0.627746,0.404618,1.22961,-1.10531,19,39,55,6,5
"Fletcher, Gallagher and Blake",1,Louise Jones,6,6,True,0.425939,0.970893,1.57262,0.0336696,6,19,30,52,36
"Fletcher, Gallagher and Blake",1,Dorothy Jones,9,1,False,-0.18538,0.286211,-0.726034,-0.51681,6,30,47,5,15
"Fletcher, Gallagher and Blake",1,Philip Sullivan,2,5,True,2.13379,1.32919,0.517752,0.8395,2,8,13,36,42
"Fletcher, Gallagher and Blake",1,Hilary King,6,1,False,-1.26705,-0.89651,-0.997293,-0.0718731,7,16,24,35,35
"Fletcher, Gallagher and Blake",1,Bradley Crawford,17,6,False,-0.641894,-0.450527,-0.785151,1.04692,9,20,25,34,34
"Fletcher, Gallagher and Blake",1,Kathryn Thomas,0,2,False,0.264989,0.288269,2.13916,-0.896223,14,35,41,7,9
Hill and Sons,0,Linda Hall,15,3,False,-1.59943,-1.02836,1.94927,-1.23381,22,32,66,7,6
Hill and Sons,1,Mark Robson,3,4,False,-0.786108,-0.896183,0.158701,0.849184,4,13,26,39,51
Hill and Sons,1,Lesley Parkinson,10,3,False,-0.94394,0.693823,-0.953935,-2.04104,9,29,39,21,29
Hill and Sons,1,Louise McDonald,6,6,False,-0.357611,-0.707872,-0.422135,0.131757,15,25,39,23,20
Hill and Sons,1,Guy Hutchinson,17,2,False,0.887501,-0.223019,-0.0301757,0.100945,10,28,51,11,21
Hill and Sons,1,Suzanne Smith,3,4,False,-0.784186,-0.385124,1.13987,0.56489,5,11,17,53,38
Hill and Sons,1,Danny Khan,4,6,False,1.07631,-0.404758,-0.34055,-0.228305,8,23,36,27,33
Hill and Sons,1,Joel Howard,10,2,False,0.746305,1.25615,1.47091,-0.602901,15,36,47,20,14
Hill and Sons,1,Carol Jones,13,6,False,-0.246378,-0.0626662,0.585083,-0.842837,16,34,56,5,11
Hill and Sons,1,Geoffrey Hooper,17,1,False,0.494409,0.0964483,0.146121,0.636491,12,31,55,24,24
Hill and Sons,2,Robert Cook,8,1,False,-1.51271,-1.40932,-1.4747,0.340953,12,19,37,34,33
Hill and Sons,2,Francis Scott,12,5,False,1.32759,-0.653721,0.417073,-0.645832,5,10,12,55,51
Hill and Sons,2,Ross Walker,5,3,False,-0.405348,0.698625,0.296765,0.998244,4,9,13,49,35
Hill and Sons,2,Keith Blake,15,6,False,0.497507,1.21751,1.46412,0.0127901,13,30,32,18,18
Hill and Sons,2,Clare Quinn,12,5,False,-0.896134,-0.510875,-0.885758,-0.448607,14,23,19,39,32
Hill and Sons,1,Thomas Sullivan,0,3,False,0.0472186,-0.487967,-0.3912,-0.281616,15,19,46,20,27
Hill and Sons,1,Joyce Cole,5,1,False,-0.853696,0.726142,0.19168,0.229743,8,12,29,38,40
Hill and Sons,1,Katy Cook,0,4,False,-1.17393,-1.53568,-0.852256,-1.19847,13,27,55,12,12
Hill and Sons,1,Leonard Bell,3,4,False,-0.797265,-0.333402,1.03032,0.684439,13,15,18,34,33
Hill and Sons,1,Jayne Matthews,10,4,False,0.28593,0.523605,1.74036,0.994948,19,23,27,28,29
Hill and Sons,1,Jason White,14,3,False,-1.13616,-1.34398,-1.21429,-0.59404,21,35,61,6,19
Hill and Sons,2,Henry Wells,11,4,False,1.59879,1.65666,0.103581,0.391953,7,6,7,48,61
Hill and Sons,2,Megan Dixon,12,2,False,0.586202,0.00369126,-0.329702,0.731652,15,43,57,6,3
Hill and Sons,2,Stanley Field,12,4,False,0.655084,0.0395775,-0.103558,0.832857,4,19,23,33,31
Hill and Sons,2,Katie Fry,17,5,False,0.765709,-0.273185,0.444586,1.28225,4,5,15,42,58
Hill and Sons,2,Dorothy Wood,16,3,False,-0.759815,0.745512,1.71055,-0.675075,13,23,41,20,27
Hill and Sons,3,Linda Bryant,2,3,False,1.01671,2.09569,1.78487,1.81223,0,8,9,50,62
Hill and Sons,3,Annette Hunter,3,1,False,-0.350328,-0.983077,-0.130499,2.41652,9,10,26,28,34
Hill and Sons,3,Damien Smith,1,5,False,-0.28921,0.850437,-0.467991,1.26761,11,23,30,32,34
Hill and Sons,3,Geraldine Morgan,12,5,False,1.28269,1.32298,0.107268,0.388294,10,27,39,20,18
Hill and Sons,4,Jordan Bowen,15,4,False,-0.263425,-0.666669,2.32478,-1.05356,3,3,12,59,54
Hill and Sons,4,Cheryl Walker,12,4,False,2.51639,0.136139,-1.04033,-2.2472,5,7,16,39,46
Hill and Sons,4,Gerard Butler,0,4,False,-0.305405,-0.0521152,0.999038,-1.17978,18,45,43,9,10
Hill and Sons,4,Kim Wood,1,2,False,0.249206,0.24607,-0.666323,0.961877,8,28,34,26,27
"Thompson, Taylor and Williams",0,Donna Heath,0,5,False,0.125824,-0.110792,-0.506312,1.40701,14,27,33,37,22
"Thompson, Taylor and Williams",0,Leslie James,3,5,False,-1.40362,-0.772498,-1.14143,-0.343961,8,5,18,49,47
"Thompson, Taylor and Williams",0,Karen Harrison,6,5,False,-0.0693579,-0.507862,-0.906507,-0.886201,5,-2,9,67,48
"Thompson, Taylor and Williams",0,Catherine Williams,0,3,False,-0.314593,0.399485,-0.849373,3.09826,18,31,42,17,8
"Thompson, Taylor and Williams",1,Jemma Chapman,14,5,False,-1.03151,-1.48719,-0.856002,-0.770339,0,7,8,68,52
"Thompson, Taylor and Williams",1,Irene Kent,17,4,False,-0.726038,-0.85955,-0.54367,-0.128131,14,19,51,12,13
"Thompson, Taylor and Williams",2,Alan White,11,4,False,-0.111475,-0.666426,1.21419,-0.196283,1,5,17,55,67
"Thompson, Taylor and Williams",2,Nicola Lord,1,5,False,-0.635205,-0.408464,-0.735296,-1.02095,2,8,6,61,61
"Thompson, Taylor and Williams",2,Leanne Hayward,9,5,False,-0.668225,-0.762139,-0.788986,-0.109751,0,1,6,62,60
"Thompson, Taylor and Williams",2,Jack Phillips,9,6,False,-0.34475,-0.0788214,0.748493,-0.376876,21,43,59,13,10
"Thompson, Taylor and Williams",2,Jean Davies,0,1,False,0.00988322,-0.40982,-0.503665,0.806239,20,36,55,19,14
"Thompson, Taylor and Williams",2,Brandon Walsh,3,2,False,-1.88376,-1.20703,-1.84503,-0.235305,8,19,32,37,28
"Thompson, Taylor and Williams",3,Beth Burgess,11,2,False,-0.676147,-0.929645,-1.01354,-0.598557,25,30,59,2,6
"Thompson, Taylor and Williams",3,Jason Barker,5,4,False,-0.0145667,1.9618,0.389191,1.40708,3,6,17,47,44
"Thompson, Taylor and Williams",3,Beverley Newton,17,5,False,-0.055645,0.302377,-0.26393,1.0241,2,9,21,50,40
"Thompson, Taylor and Williams",3,Gregory Smith,17,1,False,-0.673246,0.507033,3.37047,0.0266652,17,29,45,8,11
"Thompson, Taylor and Williams",1,Sylvia Bailey,12,6,False,0.683241,-0.791408,0.0689207,0.30395,16,22,32,14,27
"Thompson, Taylor and Williams",1,Jake Cooke,2,5,False,-0.901635,0.284599,-0.391119,-0.43136,6,15,17,32,32
"Thompson, Taylor and Williams",1,Gary Bailey,13,1,False,-0.321927,-0.308027,-0.621186,-0.186044,23,35,46,17,18
"Thompson, Taylor and Williams",1,Rhys Ellis,12,3,False,0.0988064,-0.283224,-0.220489,0.124807,7,18,20,44,36
"Thompson, Taylor and Williams",4,Tom Andrews,12,2,False,-1.35897,-1.09307,-1.25616,-1.66727,13,25,19,41,41
"Thompson, Taylor and Williams",4,Chelsea Frost,7,5,True,0.479891,1.03013,-0.174333,1.55661,0,3,10,57,55
"Thompson, Taylor and Williams",4,Yvonne White,1,5,False,-1.12502,-0.939971,-1.10957,-0.163956,7,10,25,37,35
"Thompson, Taylor and Williams",4,Dean Bishop,8,5,False,-0.789343,-1.5152,-0.656619,-1.70251,17,35,57,7,15
"Thompson, Taylor and Williams",4,Francesca Khan,14,5,False,1.67116,-0.514882,0.0914287,-1.30261,20,38,52,3,8
"Thompson, Taylor and Williams",4,Charlie Russell,1,4,False,1.17912,1.33024,-0.782237,0.0923381,5,1,12,58,53
"Thompson, Taylor and Williams",1,Jodie Campbell,17,4,False,-1.02082,-1.81848,-0.710355,-0.654317,7,13,21,34,41
"Thompson, Taylor and Williams",1,Nicholas Taylor,17,2,False,-0.0982796,-1.20685,-0.0465527,0.128427,7,11,34,46,29
"Thompson, Taylor and Williams",1,Carole Turner,0,1,False,-0.658186,-1.75267,-0.591684,-1.3324,19,30,50,6,7
"Thompson, Taylor and Williams",1,Bernard Miah,0,3,False,-0.694873,-1.36878,-0.596972,-1.75415,20,46,59,5,6
"Thompson, Taylor and Williams",1,Jodie Evans,2,4,False,1.54804,1.57496,0.703124,1.09149,7,25,23,43,39
"Thompson, Taylor and Williams",1,Joshua Hall,15,2,False,1.25781,2.57636,2.36398,0.145925,16,25,41,36,21
"Thompson, Taylor and Williams",2,Terry Read,9,4,True,1.18897,0.610814,0.914474,1.06894,3,2,5,56,53
"Thompson, Taylor and Williams",2,Mohammad Kelly,12,1,False,-1.24059,-0.517642,-1.37612,-0.0319187,8,8,17,46,49
"Thompson, Taylor and Williams",1,Megan Talbot,3,1,False,-0.100634,0.0466477,-0.583186,1.34896,3,5,26,46,55
